Ids,Title,Description,Typology,Price,Capacity,Grape,Secondary grape,Closure,Country,Flavor,Color,Abv,Region,Style,Vintage,Food
29,Nero Oro Riserva,"Revered winemaker Stefano Chioccioli is the brains behind one of our most-loved reds, the Nero Oro. But if you spend just a little extra, you can unlock Stefano’s full arsenal of winemaking tricks with the Nero Oro Riserva. Taken from his best vineyards and aged for 18 months in oak, it’s closer to a rich Amarone than its island home would suggest. Expect bold damson, blackcurrant and dried-fig notes, with a rich oak spice. The plush fruity flavours make it a delicious pairing for juicy beef burgers.",,18.18,75CL,Nero D'Avola,Syrah,Natural Cork,Italy,"Vanilla, Black Plum, Blackberry, Cedar, Fig, Sweet Spice",Red,14.00%,Sicily,Rich & Juicy,2019,"first course, red meat"
30,Pasqua 'PassioneSentimento' Passimento Rosso,"This is one of our most popular Italian reds. It’s fantastically plush and full of flavour – all thanks to the ‘appassimento’ style of winemaking. This means the grapes are picked at the peak of their ripeness and left to dry in special crates until they’ve lost 30% of their volume. It concentrates all the sugars and flavours in the grapes, making the texture seriously lush and velvety. With this intensity you won’t believe the price. Think stewed plum, blackberry and juicy cherry flavour, with notes of violet and heady sweet spice. It’s fantastic with meat ragù piled over pasta.",,15.75,75CL,Merlot,"Croatina, Corvina",Natural Cork,Italy,"Vanilla, Black Fruit, Sweet Spice",Red,14.00%,Veneto,Rich & Juicy,2021,"first course, red meat, game"
31,Château Recougne Bordeaux Supérieur,"Legend has it that during a stay at Château Recougne in the 16th century, Henri IV was so impressed by the quality of the wine he declared the château’s land ‘terra recognita’ – recognised land. The wax seal you see on the label was a symbol of the extremely coveted designation. The old Bordeaux variety Carménère is used in the blend – and the end result is fit for a king. Expect food-friendly notes of cherry, cedar wood and earthiness, with fine-grain tannins. Enjoy with roast lamb.",Bordeaux Supérieur,15.75,75CL,Merlot,"Cabernet Sauvignon, Cabernet Franc, Carménère",Natural Cork,France,"Smoke, Blackberry, Red Plum",Red,14.50%,Bordeaux,Savoury & Full Bodied,2020,"red meat, game, poultry"
32,Olivier Dubois 'Cuvée Prestige' Pinot Noir,"We challenged our buyers to find French Pinot Noir which offers unbeatable value. They looked to the Loire. For Pinot lovers, this region is a real insider secret. It’s best known for its whites, but it’s also a great source of underrated Pinot Noir. Here, the Pinots tend to boast vibrant fruit flavours. And we’re lucky enough to have the UK exclusive on this one. It’s seriously juicy and fruity – think redcurrant and cherry with a sweetly spiced edge. An ideal partner for salads and charcuterie, it will also benefit from being lightly chilled.",Pinot,12.1,75CL,Pinot Noir,,Screwcap,France,"Strawberry, Cranberry, Red Cherry",Red,12.50%,Touraine,Light & Elegant,2022,"first course, red meat, game"
33,"Château Fontesteau , Haut-Médoc","If you’re after great quality claret at excellent value, look for Cru Bourgeois on the label. Château Fontesteau have held this prestigious classification since 1874, so they’re certainly a name you can trust. This mature blend of classic Bordeaux grapes spends 12 months in oak barrels, making it supple, full-bodied and elegant – qualities that have earned the 2014 vintage an impressive 92-point score from Decanter. Discover rich blackcurrant, plum and cassis flavours with subtle notes of spice, toasty oak and tobacco. Its savoury character and smooth tannins make it an excellent match with red meats and game.",Haut-Médoc,20.6,75CL,Cabernet Sauvignon,Merlot,Natural Cork,France,"Blackcurrant, Mint, Savoury",Red,13.00%,Bordeaux,Savoury & Full Bodied,2014,"red meat, game"
34,Maison Chanzy 'En Rosey' Rully Rouge,"Maison Chanzy are renowned for crafting authentic Burgundy wines that capture the unique qualities of the region’s different terroirs. Each of their vineyard plots is harvested, vinified and aged separately to preserve their individual character. And all that attention to detail results in exceptional wines. This is a case in point. It hails from Rully, a village in the northern part of the Côte Chalonnaise – just south of the premium Côte de Beaune region. Made exclusively from Pinot Noir, it’s a fruit-forward, structured red that punches way above its price tag. Expect bright flavours of redcurrant, cherry and blackcurrant with touches of liquorice and spice. Its firm tannins and balancing acidity make it an excellent match for poultry.",Rully,29.83,75CL,Pinot Noir,,Natural Cork,France,"Strawberry, Cranberry, Red Cherry",Red,14.00%,Burgundy,Light & Elegant,2020,"red meat, game, poultry"
35,"Pardon et Fils Fleurie , Côte des Labourons","The acclaimed Pardon & Fils make this on the excellent Côte des Labourons area of Fleurie, one of the finest crus of Beaujolais. It's a cru known for its elegant and fragrant expressions of Gamay, and this wine is a brilliant example. It has notes of red fruits and blackcurrant, a rich, silky palate and a long finish. Try this with duck. In 2022, this wine won a Decanter award",Fleurie,19.4,75CL,Gamay,,Natural Cork,France,"Strawberry, Black Cherry, Raspberry",Red,13.50%,Beaujolais,Soft & Fruity,2022,"first course, red meat, poultry"
36,Baron de Boutisse Saint-Émilion Grand Cru,"This is a great-value Saint-Émilion Grand Cru from the family behind Château Recougne. As you'd expect from a wine of this calibre, it's deeply coloured, with intense aromas of mocha and sweet spice. It's very well structured, with flavours of vanilla and dark fruits. The perfect thing to share over roast beef.",Saint-Émilion,24.24,75CL,Merlot,Cabernet Sauvignon,Natural Cork,France,"Cedar, Black Plum, Blackcurrant",Red,14.50%,Bordeaux,Savoury & Full Bodied,2019,"red meat, game, poultry"
37,Gabriel Allard Côtes du Rhône Rouge,"Les Grandes Serres winery specialises in wines from the picturesque Southern Rhône Valley. With a new and enthusiastic team, modern cellars and careful maturation practises, Les Grandes Serres make internationally renowned wines that showcase the best of the region. Our Rhône buyer tasted this blind – and immediately fell in love. And once you try it, it’s easy to see why. Expect bold, juicy red-and black-fruit flavours with hints of spice. Its rich structure and herby notes make it a fantastic pairing with beef.",Côtes Du Rhône,12.1,75CL,Grenache,"Cinsault, Mourvèdre, Syrah",Natural Cork,France,"Black Pepper, Black Plum, Red Fruit",Red,14.50%,Rhône,Smooth & Mellow,2022,"red meat, game"
38,Alain Jaume 'Roquedon' Organic Lirac,"The Jaume family have been making wine for over 100 years. Based in Châteauneuf-du-Pape, they’re dedicated to showcasing the best of the southern Rhône Valley. Lirac lies just across the river from their famed homeland, so it’s no surprise that the family decided to make wine there too. And this delicious bottling does their reputation proud. It’s made with hand-picked organic grapes, and is partially aged in oak for extra smoothness and complexity. Discover ripe red- and black-fruit flavours with touches of spice, vanilla and liquorice. Its silky tannins make it an ideal pairing for red meats like lamb or venison.",Lirac,23.0,75CL,Grenache,"Syrah, Carignan, Mourvèdre",Natural Cork,France,"Spice, Black Plum, Blackberry, Earth, Raspberry",Red,15.00%,Rhône,Bold & Spicy,2019,"red meat, game"
39,"Château d'Anglès 'Grand Vin' , La Clape","Winemaker Eric Fabre spent eight years as Technical Director at the world-renowned Château Lafite Rothschild – where the wines demand three-figure price tags. In 2001 he decided to take his considerable expertise to the Languedoc and, together with his wife Christine, bought the historic Château d'Anglès. The estate lies in La Clape, an appellation famed for the quality of its reds. And that quality is certainly reflected in this, the château’s grand vin. It’s an expressive, full-bodied blend of Grenache, Syrah and Mourvèdre, which spends at least 10 months maturing in oak to give it extra complexity and a smooth, decadent texture. Expect powerful flavours of ripe red and black fruits, liquorice and tobacco, plus a long, fresh finish that pairs perfectly with juicy meats. Try it with steak or cellar it for up to 20 years.",La Clape,23.0,75CL,Mourvèdre,Syrah,Natural Cork,France,"Spice, Black Fruit, Dried Herbs",Red,14.50%,Languedoc-Roussillon,Bold & Spicy,2020,red meat
40,E. Guigal Côtes du Rhône,"The Rhône Valley is one of the most ancient wine regions in the whole world. The Guigal family are third-generation winemakers that have made a massive impression here. Their name is now synonymous with excellent quality Rhône wines. And it’s all down to their meticulous approach. They pay growers three times the market rate to get the best grapes and even make their own barrels to ensure the ageing process is spot on. This has a higher proportion of Syrah than the usual Southern Rhône blend, making it extra fruity and warmly spicy. It’s a fantastically versatile wine, ideal for buffets with Lyonnaise-style cold meats.",Côtes Du Rhône,18.18,75CL,Grenache,"Syrah, Mourvèdre",Natural Cork,France,"White Pepper, Black Plum, Blackberry, Earth, Raspberry, Spice",Red,15.00%,Rhône,Bold & Spicy,2020,"red meat, game"
41,Pasqua DLZ 'Idealysta' Rosé,"The Pasqua name is synonymous with quality – and a firm favourite with Majestic customers. Their winemaking story began almost a century ago, when the first generation of the Pasqua brothers established a business in Verona devoted to the trade of wines from their homeland, Apulia. It’s here, on Italy’s heel, that this incredible rosé is produced. Going back to their roots, Pasqua blend Primitivo, Negroamaro, Syrah and Chardonnay grapes that benefit from the warm southern sun and produce a ripe and expressive style of rosé. It’s remarkably aromatic and perfumed, with aromas of dried herbs and intense flavours of red and black fruits. Pronounced fruit flavours make it a perfect match for pasta in tomato sauce or pizza.",,15.75,75CL,Primitivo,"Negroamaro, Syrah",Natural Cork,Italy,"Red Apple, Red Cherry, Strawberry",Rosé,12.50%,Puglia,Ripe & Fruity,2022,"first course, fish, cheese"
42,Pasqua ' Minutes' Rosé,"This complex Italian rosé first hit our shelves in small, limited supply. Our customers loved it so much, we soon went back for more. It’s made by Pasqua, a historic family-run winery who are behind some of our best-selling bottles. So you can be sure you’re in for something delicious. It’s made from Corvina, Trebbiano, Syrah and Carménère grapes, which all thrive in Pasqua’s beautiful Veneto-based vineyards. Its name comes from the length of time the juice is left on the grape skins – exactly 11 minutes, the perfect amount of time to give the wine its delicate rosy colour. It's elegant and subtly spicy, with plenty of red-fruit flavours. Transport yourself to Italy by pairing it with baked white fish, olives and tomatoes.",,19.4,75CL,Corvina,"Trebbiano, Carménère, Syrah",Vinolok,Italy,"Strawberry, Floral, Peach, Raspberry",Rosé,12.50%,Veneto,Delicate & Dry,2022,"aperitif, starters, fish, meat, savory pies"
43,"Tommasi 'Le Fornaci' Rosé , Lugana DOC","Family-owned Tommasi has significant vineyard holdings in Valpolicella Classico but also in Lugana, on the shores of Lake Garda. This rosé, a blend of gently pressed Turbiana and Rondinella grapes, hails from the latter. Head winemaker and family member Giancarlo Tommasi carefully vinifies the wine at controlled temperatures in stainless steel, creating a pale pink bottling with rich aromas of grapefruit, peach blossom and mandarin zest. The flavour is equally vibrant, with a fresh, citrussy acidity and a persistent finish. Try it as an aperitif with canapes or (what else?) a pizza.",Lugana,19.4,75CL,Turbiana,Rondinella,Natural Cork,Italy,"Floral, Peach, Raspberry, Strawberry",Rosé,12.50%,Lombardy,Delicate & Dry,2022,"aperitif, fish"
44,Pasqua 'Y by  Minutes' Rosé,"Pasqua are behind a number of our best-selling wines. We stocked their '11 Minutes' rosé a few years ago, and it was immensely popular with Majestic customers. They've just made it even better. So it was a no-brainer for our rosé buyer, to pick this up. It's made from Corvina, Trebbiano and Carménère grapes and partially fermented in oak. Sounds familiar? Not to many. But this is a recipe for something remarkably complex, fresh, structured and elegant. Try its flavours of red fruits, citrus and vanilla with grilled fish.",,26.26,75CL,Corvina,"Carménère, Trebbiano",Natural Cork,Italy,"Raspberry, Strawberry, Watermelon",Rosé,13.00%,Veneto,Delicate & Dry,2020,"aperitif, cold cuts, cheese, fish"
45,Beato Bartolomeo Pinot Grigio Rosato,The Alpine foothills tumble down into the Veneto in North-Eastern Italy. It’s here you’ll find the tiny Breganze DOC. It’s so small that the region’s 700 growers have formed a single cooperative: Beato Bartolomeo Breganze. They make so little of this delicious rosé that we buy everything they make. It’s incredibly bright and fruity with really delicate flavours. Peach. Apricot. Raspberry. It’s delicious with light salads.,Pinot,12.1,75CL,Pinot Grigio,,Screwcap,Italy,"Peach, Apricot, Floral",Rosé,12.50%,Veneto,Delicate & Dry,2022,"aperitif, cold cuts, cheese, fish"
46,Pasqua 'Romeo & Juliet' Prosecco DOC Rosé,"Pasqua has been producing excellent Italian wine since 1925. Unlike many sweeter supermarket bottles, their Prosecco is made in a dry style, resulting in elegant, velvet-smooth bubbles. This is a delicious rosé take on their ever-popular Romeo & Juliet Prosecco. To make it, they've included a portion of Pinot Noir grapes. It’s fresh and lively with lush raspberry notes.",Prosecco,17.0,75CL,Glera,Pinot Noir,Natural Cork,Italy,"Citrus Fruit, Red Fruit, Stone Fruit",Rosé,11.00%,Veneto,Crisp & Fruity,2022,"aperitif, fish"
47,La Gioiosa Prosecco DOC Rosé,"Up until the end of 2020, producers weren't allowed to label rosé fizz as Prosecco – even if it was made inside the designated regions and to the same high standards as the classic white bubbles. But labelling laws have finally changed. And we're thrilled to be stocking one of the first rosé Proseccos to hit UK shelves. Best of all, it's made by Prosecco experts, La Gioiosa. Dry, fresh and zesty, with notes of redcurrants and raspberries, and a lovely floral quality. It's seriously moreish and perfect with raspberry soufflé.",Prosecco,15.75,75CL,Glera,Pinot Noir,Natural Cork,Italy,"Strawberry, Citrus Fruit, Raspberry, Red Fruit",Rosé,10.50%,Veneto,Crisp & Fruity,2022,"aperitif, dessert"
48,Nero Oro Rosé,"Stefano Chioccioli is the man behind Nero Oro, one of our bestselling reds. He’s made wine in almost all of Italy’s regions and his skill is obvious – Robert Parker has scored several of his wines at 100 points. So it’s no surprise that our buyers were impressed with this rosé. It’s made from Nerello Mascalese – a grape native to Sicily. It’s not often made as a single variety wine, making this a pretty unique bottle. Discover pretty notes of rose, violet and wild summer berries. A streak of minerality makes it really fresh and elegant, so it’s a perfect choice for light summer salads topped with grapes, strawberries or watermelon.",,14.5,75CL,Nerello Mascalese,,Screwcap,Italy,"Floral, Red Cherry, Strawberry",Rosé,12.50%,Sicily,Ripe & Fruity,2021,"aperitif, fish, cheese"
49,Majestic Fizzy & Juicy,"Each bottle in our Selected by Majestic range has been chosen by our award-winning team of buyers for its unmistakable value and instantly enjoyable taste. In this Fizzy & Juicy wine, you can expect fresh flavours of red apple and ripe summer berries, with soft bubbles. A fantastic aperitif.",,8.5,75CL,Glera,"Pinot Noir, Garganega",Natural Cork,Italy,"Raspberry, Red Apple, Strawberry",Rosé,11.00%,Veneto,Crisp & Fruity,NV,aperitif
50,Bottega ‘Rose Gold’ Brut Rosé,"In the world of wine and grappa, Bottega’s history spans four centuries. The passion and dedication that goes into their bottlings is clear – but how do they taste? The estate’s drinks range has received more than 350 awards worldwide, so you can be sure you’re picking up more than just a pretty bottle. This sparkling rosé is made from Lombardy’s finest Pinot Nero – the Italian name for Pinot Noir. Expect intense floral and fruity aromas with flavours of wild summer berries with a long, refreshing finish.",Prosecco,31.5,75CL,Pinot Noir,,Natural Cork,Italy,"Citrus Fruit, Honey, Raspberry, Red Apple, Strawberry",Rosé,11.50%,Lombardy,Crisp & Fruity,NV,"aperitif, fish, white meat, cheese, dessert"
51,Miraval Rosé,"Miraval shot to fame when Angelina Jolie and Brad Pitt bought it. But its real brilliance lies with its winemakers: the prestigious Perrin family. This prestigious family are one of the most respected in the Rhône Valley. And the expertise really shines in this Provence rosé. This is a beautifully pale-pink rosé, with notes of wild strawberry, stone fruit, tangerine and white flowers. Try it with white fish and fennel.",Côtes De Provence,27.8,75CL,Cinsault,"Syrah, Grenache, Rolle",Natural Cork,France,"Strawberry, Herbaceous, Peach, Raspberry",Rosé,13.00%,Provence,Delicate & Dry,2022,"aperitif, cold cuts, fish, cheese, dessert"
52,Peyrassol 'Réserve des Templiers' Rosé,"La Commanderie de Peyrassol was established in the 13th century by the Knights Templar. Today, it’s one of the most renowned estates in Provence. The team there are committed to quality – they manage each of their vineyards like a grand cru, and their grapes are grown organically. This rosé is a blend of five different varieties, which are harvested in the coolest hours of the night to preserve their exceptional freshness. Discover crisp notes of peach, raspberry and citrus zest, with a delicate herbal character. Several months of lees ageing gives it a rounded texture that’s perfect with seafood or a niçoise salad.",Côtes De Provence,19.4,75CL,Cinsault,"Syrah, Grenache",Natural Cork,France,"Strawberry, Herbaceous, Peach, Raspberry",Rosé,13.00%,Provence,Delicate & Dry,2022,"aperitif, fish, pork, poultry"
53,Caves d'Esclans 'Whispering Angel' Rosé,"Winemaker Sacha Lachine is a master of the art of rosé. In 2006, he took over Caves d'Esclans with a vision to create some of the world's greatest wine. To do so, he introduced groundbreaking winemaking techniques. This revolutionised Provence rosé – with Whispering Angel as the figurehead. This iconic wine has a wealth of awards behind it, and it's clear to see why. It has fresh notes of apple, pink grapefruit, peach and cream, and a long, smooth finish. Perfect with smoked salmon.",Côtes De Provence,29.0,75CL,Grenache,"Rolle, Cinsault",Natural Cork,France,"Strawberry, Herbaceous, Peach, Raspberry",Rosé,13.50%,Provence,Delicate & Dry,2022,"aperitif, fish"
54,Château de Berne ‘Inspiration’ Rosé,"A stunning property and landmark of Provence, Château de Berne is a luxurious hotel with a Michelin-starred restaurant. It also happens to be located on a 18th-century wine estate, making it a pilgrimage for food & wine lovers around the world. Their eye-catching square bottles don’t just look the part, they taste great too. Inspiration rosé has remarkable freshness due to the grapes having been picked at nighttime, when the heat of the day has dropped. Concentrated yet elegant, it has vibrant summer fruits with a hint of mango, and lively, balanced acidity. Match its freshness with lemony roast chicken sprinkled with plenty of Provençale herbs.",Côtes De Provence,21.8,75CL,Grenache,"Syrah, Cinsault",Natural Cork,France,"Strawberry, Herbaceous, Peach, Raspberry",Rosé,13.00%,Provence,Delicate & Dry,2022,"fish, poultry, pork"
55,Domaine La Chautarde Rosé,"Although Provence rosé is replicated the world over, nothing beats the real thing. And Côteaux Varois en Provence is one of the best places to find it at a pocket-friendly price. It’s an under-the radar region sheltered by a series of mountain ranges – keeping the climate cool and the wines fresh. We loved this one so much that we just had to make it exclusive to Majestic. It’s crisp and dry with plenty of fresh acidity. Expect flavours of watermelon, cherry and subtle herbal notes – brilliant with tomato and seafood pasta finished with fresh herbs.",Coteaux Varois-En-Provence,17.0,75CL,Grenache,"Syrah, Carignan, Cinsault",Screwcap,France,"Strawberry, Peach, Raspberry",Rosé,13.00%,Provence,Delicate & Dry,2022,"first course, fish, poultry"
56,Jas des Vignes Rosé Méditerranée,"This stylish bottle has its roots in the IGP Méditerranée region, which encompasses Provence and parts of the Rhône Valley. The large area gives the pioneering winemaker plenty of options to perfect their wine. To make this, grapes are picked at night to preserve freshness.  The result is a crisp and delicate Provence-style rosé. And it’s a snip of the price of the more well-known neighbouring Provence appellations. Discover mouth-wateringly ripe strawberry and raspberry flavours. Delicious with Mediterranean vegetable quiche.",,14.5,75CL,Grenache,"Syrah, Cinsault",Screwcap,France,"Strawberry, Peach, Raspberry",Rosé,13.00%,Provence,Delicate & Dry,2022,"aperitif, fish"
57,Peyrassol ‘Les Commandeurs’ Organic Rosé,"Established in the 13th century by the Knights Templar, Peyrassol now make some of the finest rosé in Provence. This is their second wine – and their bestselling rosé globally. It’s a true reflection of the estate’s commitment to quality, which sees them select the best terroirs and grapes to craft their signature style. 2022 marks the first vintage to be certified organic – as all Peyrassol’s wines will be going forwards. You’ll find it elegant and floral with notes of ripe strawberry, raspberry, gooseberry and tangy citrus. The crisp, lively flavours pair beautifully with fresh fish – particularly salmon or scallops.",Côtes De Provence,23.0,75CL,Grenache,"Cinsault, Mourvèdre, Syrah, Vermentino",Natural Cork,France,"Citrus Fruit, Red Fruit, Mineral",Rosé,13.00%,Provence,Delicate & Dry,2022,"aperitif, starters"
58,Les Vignobles Foncalieu 'Vallée des Pins' Rosé,"After Provence rosé at a great price? Look to Coteaux d'Aix-en-Provence. The vineyards here see plenty of sun with almost every vintage. So the grapes behind this bottle are full of delicious juice. It's aged on its lees, so this brings a delicious texture to its notes of raspberry, strawberry and guava. Try it with mussels in cream sauce.",Coteaux D'Aix-En-Provence,14.5,75CL,Grenache,"Syrah, Cabernet Sauvignon, Cinsault",Screwcap,France,"Strawberry, Peach, Raspberry",Rosé,12.50%,Provence,Delicate & Dry,2022,"fish, poultry"
59,Peyrassol 'Réserve des Templiers' Rosé  Magnum,"Peyrassol was established in the 12th century by the Knights Templar. Today, it’s the hub of a very different kind of pilgrimage – of wine lovers to one of the finest and most beautiful vineyards in all of Provence. Because the vineyards are at a higher altitude, there’s a perfect balance between warm daytime and cool nighttime temperatures to make the grapes incredibly aromatic. Perfect for rosé. It’s peachy and herbal – a heady distillation of the hills where it’s grown. With a wonderful citrusy edge, it’s really refreshing – but it’s also full bodied. Ideal with salty foods, like olives.",Côtes De Provence,43.6,1.5LTR,Grenache,"Cinsault, Mourvèdre, Syrah, Vermentino",Synthetic Cork,France,"Herbaceous, Peach, Raspberry, Strawberry",Rosé,13.00%,Provence,Delicate & Dry,2022,"aperitif, fish, pork, poultry"
60,Mirabeau 'Pure' Rosé  Magnum,"True to its title, Mirabeau Pure Provence Rosé is renowned for its distinctive purity. It’s a classic blend of Grenache and Syrah, gently pressed and lovingly crafted to express its refined and elegant flavours. This attention to detail has won it wide critical acclaim. Expect lush notes of pink grapefruit and summer berries, with a hint of minerality on the finish. Mirabeau lovingly calls this 'Provence in a glass'. It'll make a fantastic partner for light fish dishes.",,46.0,1.5LTR,Grenache,"Cinsault, Syrah",Synthetic Cork,France,"Herbaceous, Peach, Raspberry, Strawberry",Rosé,13.00%,Provence,Delicate & Dry,2022,"starters, fish"
